,Prod. year,Leather interior,Mileage,Cylinders,Wheel,price_levy_combined,Airbags_bins,Engine volume int,Turbo,Coupe,Goods wagon,Hatchback,Jeep,Microbus,Minivan,Pickup,Sedan,Universal,Diesel,Hybrid,LPG,Petrol,Automatic,Manual,Variator,4x4,Front,Germany,Japan,South Korea,USA
0,2010,0,186005,6.0,0,14727,2,3.5,0.0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
1,2011,1,192000,6.0,0,17639,2,3.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
2,2006,1,200000,4.0,1,8467,1,1.3,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
3,2011,0,168966,4.0,0,4469,0,2.5,0.0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
4,2014,0,91901,4.0,0,12172,1,1.3,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0
5,2016,0,160931,4.0,0,40384,1,2.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
6,2010,0,258909,4.0,0,2564,2,1.8,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
7,2013,0,216118,4.0,0,1300,2,2.4,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0
8,2014,0,398069,4.0,0,1492,2,2.5,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
9,2007,0,128500,6.0,0,26657,2,3.5,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0
10,2014,0,184467,6.0,0,1994,2,3.5,0.0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
12,1997,1,350000,4.0,0,3000,1,1.6,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
13,2013,0,138038,6.0,0,2074,2,3.5,0.0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
14,2016,0,76000,4.0,0,60355,1,2.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
15,2018,0,74146,4.0,0,1628,2,2.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0
16,2016,0,121840,4.0,0,8493,2,1.8,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0
17,2016,0,54317,4.0,0,29192,1,1.8,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0
18,2006,0,295059,6.0,0,2935,2,3.3,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0
19,2008,0,364523,6.0,0,2791,2,3.5,0.0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
20,2012,0,112645,4.0,0,19357,1,1.6,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0
21,2012,0,187000,4.0,0,21284,2,1.8,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
22,2017,0,39709,4.0,0,18811,2,2.5,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0
25,2006,0,210000,4.0,0,20385,2,2.2,1.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
28,2011,0,158787,4.0,0,15037,1,1.6,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0
31,2014,0,175056,6.0,0,20359,2,3.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
32,2000,0,200000,8.0,0,6899,1,4.4,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
33,2008,0,287274,6.0,0,1875,2,3.3,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
34,2007,0,250000,6.0,0,24462,2,3.0,1.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
35,2011,0,162000,4.0,0,23942,1,2.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
36,2019,1,10200,4.0,0,52823,2,2.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
37,2010,1,158000,4.0,1,9013,1,1.3,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
38,2012,0,103490,4.0,0,19652,1,1.6,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0
39,2010,0,382746,6.0,0,1713,2,3.5,0.0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
40,2013,0,203200,4.0,0,25213,1,2.4,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0
41,2016,0,61057,4.0,0,46825,1,2.5,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0
42,2016,0,11200,4.0,0,20815,2,1.4,1.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
43,2014,0,141000,4.0,0,21708,2,2.4,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
44,2010,0,160259,6.0,0,1985,2,3.6,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0
45,2013,0,239342,6.0,0,1414,2,4.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0
46,2012,1,128000,4.0,0,16184,2,1.5,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0
47,2017,0,100734,4.0,0,56407,1,2.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
48,2012,1,141500,4.0,1,12544,2,1.5,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
49,2008,1,147000,4.0,0,17249,2,2.3,0.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
50,2016,0,87768,4.0,0,35780,1,2.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0
51,2015,0,264014,6.0,0,1966,0,3.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0
52,2008,1,132542,4.0,0,14583,2,1.5,1.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
53,2017,0,1600,4.0,0,1409,2,2.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0
55,2001,1,260000,4.0,0,8781,0,2.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
57,2015,0,87112,4.0,0,2040,0,1.6,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0
58,2012,0,204318,6.0,0,1311,2,3.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0
60,2013,1,83000,4.0,0,17465,2,1.6,1.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
61,2007,0,170000,4.0,1,10349,1,2.4,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0
62,2013,0,312118,4.0,0,7743,0,1.6,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0
