,seniorcitizen,tenure,multiplelines,internetservice,contract,paperlessbilling,monthlycharges,churn,service_count,family,paymentmethod_Bank transfer (automatic),paymentmethod_Credit card (automatic),paymentmethod_Electronic check
0,0,1,0,1,1,1,29.85,0,1,1,0,0,1
1,0,34,0,1,2,0,56.95,0,2,0,0,0,0
2,0,2,0,1,1,1,53.85,1,2,0,0,0,0
3,0,45,0,1,2,0,42.3,0,3,0,1,0,0
4,0,2,0,2,1,1,70.7,1,0,0,0,0,1
5,0,8,1,2,1,1,99.65,1,3,0,0,0,1
6,0,22,1,2,1,1,89.1,0,2,1,0,1,0
7,0,10,0,1,1,0,29.75,0,1,0,0,0,0
8,0,28,1,2,1,1,104.8,1,4,1,0,0,1
9,0,62,0,1,2,0,56.15,0,2,1,1,0,0
10,0,13,0,1,1,1,49.95,0,1,1,0,0,0
11,0,16,0,0,3,0,18.95,0,0,0,0,1,0
12,0,58,1,2,2,0,100.35,0,3,1,0,1,0
13,0,49,1,2,1,1,103.7,1,4,0,1,0,0
14,0,25,0,2,1,1,105.5,0,5,0,0,0,1
15,0,69,1,2,3,0,113.25,0,6,1,0,1,0
16,0,52,0,0,2,0,20.65,0,0,0,0,0,0
17,0,71,1,2,3,0,106.7,0,4,1,1,0,0
18,0,10,0,1,1,0,55.2,1,2,1,0,1,0
19,0,21,0,2,1,1,90.05,0,3,0,0,0,1
20,1,1,0,1,1,1,39.65,1,2,0,0,0,1
21,0,12,0,0,2,0,19.8,0,0,1,1,0,0
22,0,1,0,0,1,0,20.15,1,0,0,0,0,0
23,0,58,1,1,3,1,59.9,0,2,1,0,1,0
24,0,49,0,1,1,0,59.6,0,3,1,0,1,0
25,0,30,0,1,1,1,55.3,0,2,0,1,0,0
26,0,47,1,2,1,1,99.35,1,3,1,0,0,1
27,0,1,0,1,1,0,30.2,1,1,1,0,0,1
28,0,72,1,1,3,1,90.25,0,6,1,0,1,0
29,0,17,0,1,1,1,64.7,1,2,1,0,0,0
30,1,71,1,2,3,1,96.35,0,4,1,0,1,0
31,1,2,0,2,1,1,95.5,0,3,1,0,1,0
32,0,27,0,1,2,0,66.15,0,4,1,0,0,0
33,0,1,0,0,1,0,20.2,0,0,0,1,0,0
34,1,1,0,1,1,0,45.25,0,0,0,1,0,0
35,0,72,1,2,3,0,99.9,0,4,1,1,0,0
36,0,5,0,2,1,1,69.7,1,0,0,0,0,1
37,0,46,0,2,1,1,74.8,0,1,0,0,1,0
38,0,34,1,2,1,1,106.35,1,4,0,0,0,1
39,0,11,1,2,1,1,97.85,1,3,0,1,0,0
40,0,10,0,1,2,0,49.55,0,1,1,0,0,0
41,0,70,1,1,3,1,69.2,0,3,1,0,1,0
42,0,17,0,0,2,0,20.75,0,0,1,0,0,0
43,0,63,1,1,3,1,79.85,0,5,0,0,1,0
44,0,13,1,1,1,1,76.2,0,4,1,0,0,1
45,0,49,1,2,1,1,84.5,0,1,0,0,0,1
46,0,2,0,1,1,0,49.25,0,1,0,0,0,0
47,0,2,0,2,1,1,80.65,1,1,0,0,0,1
48,0,52,1,1,3,1,79.75,0,4,0,0,1,0
49,0,69,1,1,3,1,64.15,0,3,1,0,1,0
50,1,43,1,2,1,1,90.25,0,2,0,0,0,1
51,0,15,0,2,1,1,99.1,1,4,0,0,1,0
52,1,25,1,1,1,1,69.5,0,3,1,0,1,0
53,1,8,1,2,1,1,80.65,1,1,1,0,1,0
54,1,60,0,1,2,1,74.85,0,5,1,0,1,0
55,1,18,1,2,1,1,95.45,1,2,0,0,0,1
